"","Locality","Townland","Town"
"4624",NA,"ENAGH","LIMAVADY"
"4625",NA,"COOLESSAN","LIMAVADY"
"4626",NA,"ENAGH","LIMAVADY"
"4627",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"4628",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"4629",NA,"RATHBRADY MORE","LIMAVADY"
"4630",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"4631",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"4632",NA,"RATHBRADY MORE","LIMAVADY"
"4633",NA,"RATHBRADY MORE","LIMAVADY"
"4634",NA,"MULKEERAGH","LIMAVADY"
"4635",NA,"RATHBRADY MORE","LIMAVADY"
"4636",NA,"ENAGH","LIMAVADY"
"4637",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"4638",NA,"COOLESSAN","LIMAVADY"
"4639",NA,"CARRAN","LIMAVADY"
"4640",NA,"RATHBRADY MORE","LIMAVADY"
"4641",NA,"COOLESSAN","LIMAVADY"
"4642",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"4643",NA,"CARRAN","LIMAVADY"
"4644",NA,"RATHBRADY MORE","LIMAVADY"
"4645",NA,"ENAGH","LIMAVADY"
"4646",NA,"BOVALLY","LIMAVADY"
"4647",NA,"BOVALLY","LIMAVADY"
"4648",NA,"RATHBRADY MORE","LIMAVADY"
"4649",NA,"TERRYDREMONT SOUTH","LIMAVADY"
"4650",NA,"COOLESSAN","LIMAVADY"
"4651",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"4652",NA,"BALLYCRUM","LIMAVADY"
"4653",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"4654",NA,"DRUMRAMER","LIMAVADY"
"4655",NA,"GLEBE","LIMAVADY"
"4656",NA,"ENAGH","LIMAVADY"
"4657",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"4658",NA,"BOVALLY","LIMAVADY"
"4659",NA,"COOLESSAN","LIMAVADY"
"4660",NA,"ENAGH","LIMAVADY"
"4661",NA,"ARDGARVAN","LIMAVADY"
"4662",NA,"BOVALLY","LIMAVADY"
"4663","BOVALLY","BOVALLY","LIMAVADY"
"4664",NA,"BOVALLY","LIMAVADY"
"4665",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"4666",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"4667",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"4668",NA,"RATHBRADY MORE","LIMAVADY"
"4669",NA,"RATHBRADY MORE","LIMAVADY"
"4670",NA,"ENAGH","LIMAVADY"
"4671",NA,"SESNAGH","LIMAVADY"
"4672",NA,"DERRY BEG","LIMAVADY"
"4673",NA,"BOVALLY","LIMAVADY"
"4674",NA,"CARRAN","LIMAVADY"
"4675",NA,"BALLYDARROG","LIMAVADY"
"4676",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"4677",NA,"BOVALLY","LIMAVADY"
"4678",NA,"RATHBRADY MORE","LIMAVADY"
"4679",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"4680",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"4681",NA,"AUGHIL","LIMAVADY"
"4682",NA,"BOVALLY","LIMAVADY"
"4683",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"4684",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"4685",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"4686",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"4687",NA,"BOVALLY","LIMAVADY"
"4688",NA,"CARLARAGH","LIMAVADY"
"4689",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"4690",NA,"BALLYMACLARY","LIMAVADY"
"4691",NA,"BENONE","LIMAVADY"
"4692",NA,"CARRAN","LIMAVADY"
"4693",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"4694",NA,"CRINDLE","LIMAVADY"
"4695",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"4696",NA,"BALLYMAGOLAND","LIMAVADY"
"4697",NA,"RATHBRADY MORE","LIMAVADY"
"4698",NA,"CARRAN","LIMAVADY"
"4699",NA,"ENAGH","LIMAVADY"
"4700",NA,"KILLYBREADY","LIMAVADY"
"4701",NA,"LECK","LIMAVADY"
"4702",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"4703",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"4704",NA,"ARTIKELLY","LIMAVADY"
"4705",NA,"RATHBRADY MORE","LIMAVADY"
"4706",NA,"BOVALLY","LIMAVADY"
"4707",NA,"BOVALLY","LIMAVADY"
"4708",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"4709",NA,"ENAGH","LIMAVADY"
"4710",NA,"ENAGH","LIMAVADY"
"4711","FRUITHILL","GORTNAMONEY","LIMAVADY"
"4712",NA,"BALLYHENRY WEST","LIMAVADY"
"4713",NA,"DRUMALIEF","LIMAVADY"
"4714",NA,"BOVALLY","LIMAVADY"
"4715",NA,"BOVALLY","LIMAVADY"
"4716",NA,"DERRY MORE","LIMAVADY"
"4717",NA,"RATHBRADY MORE","LIMAVADY"
"4718",NA,"KILLANE","LIMAVADY"
"4719",NA,"CARROWCLARE","LIMAVADY"
"4720",NA,"ENAGH","LIMAVADY"
"4721",NA,"CARRAN","LIMAVADY"
"4722",NA,"BOVALLY","LIMAVADY"
"4723",NA,"BOVALLY","LIMAVADY"
"4724",NA,"ENAGH","LIMAVADY"
"4725",NA,"GORTNAMONEY","LIMAVADY"
"4726",NA,"BOVALLY","LIMAVADY"
"4727",NA,"DIRTAGH","LIMAVADY"
"4728",NA,"ENAGH","LIMAVADY"
"4729",NA,"ENAGH","LIMAVADY"
"4730",NA,"ARDGARVAN","LIMAVADY"
"4731",NA,"BOVALLY","LIMAVADY"
"4732",NA,"BOVALLY","LIMAVADY"
"4733",NA,"LOWER DOAGHS","LIMAVADY"
"4734",NA,"BENONE","LIMAVADY"
"4735",NA,"AUGHIL","LIMAVADY"
"4736",NA,"OUGHTYMOYLE","LIMAVADY"
"4737",NA,"OUGHTYMOYLE","LIMAVADY"
"4738",NA,"BALLYMULHOLLAND","LIMAVADY"
"4739","BALLYSCULLION","MARGYMONAGHAN","LIMAVADY"
"4740",NA,"BENONE","LIMAVADY"
"4741",NA,"SHANVEY","LIMAVADY"
"4742",NA,"KILLYBREADY","LIMAVADY"
"4743",NA,"GORTNAMONEY","LIMAVADY"
"4744",NA,"DRUMALIEF","LIMAVADY"
"4745",NA,"RATHBRADY MORE","LIMAVADY"
"4746",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"4747",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"4748",NA,"COOLESSAN","LIMAVADY"
"4749",NA,"COOLESSAN","LIMAVADY"
"4750",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"4751",NA,"RATHBRADY MORE","LIMAVADY"
"4752",NA,"ENAGH","LIMAVADY"
"4753",NA,"ENAGH","LIMAVADY"
"4754",NA,"CARRAN","LIMAVADY"
"4755",NA,"ENAGH","LIMAVADY"
"4756",NA,"COOLESSAN","LIMAVADY"
"4757",NA,"ENAGH","LIMAVADY"
"4758",NA,"RATHBRADY MORE","LIMAVADY"
"4759",NA,"BOVALLY","LIMAVADY"
"4760",NA,"COOLESSAN","LIMAVADY"
"4761",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"4762",NA,"KILLANE","LIMAVADY"
"4763",NA,"RATHBRADY MORE","LIMAVADY"
"4764",NA,"RATHBRADY MORE","LIMAVADY"
"4765",NA,"ENAGH","LIMAVADY"
"4766",NA,"COOLESSAN","LIMAVADY"
"4767",NA,"CARRAN","LIMAVADY"
"4768",NA,"ENAGH","LIMAVADY"
"4769",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"4770",NA,"COOLESSAN","LIMAVADY"
"4771",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"4772",NA,"COOLESSAN","LIMAVADY"
"4773",NA,"ENAGH","LIMAVADY"
"4774",NA,"RATHBRADY MORE","LIMAVADY"
"4775",NA,"RATHBRADY MORE","LIMAVADY"
"4776",NA,"RATHBRADY MORE","LIMAVADY"
"4777",NA,"BOVALLY","LIMAVADY"
"4778",NA,"ENAGH","LIMAVADY"
"4779",NA,"CARRAN","LIMAVADY"
"4780",NA,"COOLESSAN","LIMAVADY"
"4781",NA,"RATHBRADY MORE","LIMAVADY"
"4782",NA,"KEADY","LIMAVADY"
"4783",NA,"DRUMRAMER","LIMAVADY"
"4784",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"4785",NA,"COOLESSAN","LIMAVADY"
"4786","BOVALLY","BOVALLY","LIMAVADY"
"4787",NA,"BOVALLY","LIMAVADY"
"4788",NA,"BOVALLY","LIMAVADY"
"4789",NA,"DRUMMOND","LIMAVADY"
"4790",NA,"CARRAN","LIMAVADY"
"4791",NA,"LARGY","LIMAVADY"
"4792",NA,"RATHBRADY MORE","LIMAVADY"
"4793",NA,"DRUMSURN LOWER","LIMAVADY"
"4794",NA,"CARLARAGH","LIMAVADY"
"4795",NA,"CARRAN","LIMAVADY"
"4796",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"4797",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"4798",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"4799","FRUITHILL","FRUITHILL","LIMAVADY"
"4800","FRUITHILL","GRANNAGH","LIMAVADY"
"4801",NA,"BALLYHENRY WEST","LIMAVADY"
"4802",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"4803",NA,"BOVALLY","LIMAVADY"
"4804",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"4805",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"4806",NA,"RATHBRADY MORE","LIMAVADY"
"4807",NA,"BOVALLY","LIMAVADY"
"4808",NA,"RATHBRADY MORE","LIMAVADY"
"4809",NA,"RATHBRADY MORE","LIMAVADY"
"4810",NA,"BOVALLY","LIMAVADY"
"4811",NA,"LECK","LIMAVADY"
"4812",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"4813",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"4814",NA,"DRUMBANE","LIMAVADY"
"4815",NA,"BOVALLY","LIMAVADY"
"4816",NA,"BOVALLY","LIMAVADY"
"4817",NA,"GORTNAMONEY","LIMAVADY"
"4818",NA,"BOVALLY","LIMAVADY"
"4819",NA,"RATHBRADY MORE","LIMAVADY"
"4820",NA,"RATHBRADY MORE","LIMAVADY"
"4821",NA,"BALLYMACRAN","LIMAVADY"
"4822",NA,"DRUMSURN LOWER","LIMAVADY"
"4823",NA,"CRAIG","LIMAVADY"
"4824",NA,"CARRAN","LIMAVADY"
"4825",NA,"TAMLAGHT (PART OF GLEBE)","LIMAVADY"
"4826",NA,"RATHBRADY MORE","LIMAVADY"
"4827",NA,"LARGY","LIMAVADY"
"4828",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"4829",NA,"ENAGH","LIMAVADY"
"4830",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"4831",NA,"DRUMSURN LOWER","LIMAVADY"
"4832",NA,"RATHBRADY MORE","LIMAVADY"
"4833",NA,"BOVALLY","LIMAVADY"
"4834",NA,"BOVALLY","LIMAVADY"
"4835",NA,"BOVALLY","LIMAVADY"
"4836",NA,"BOVALLY","LIMAVADY"
"4837",NA,"BOVALLY","LIMAVADY"
"4838",NA,"DERRY BEG","LIMAVADY"
"4839",NA,"DROMORE","LIMAVADY"
"4840",NA,"RATHBRADY MORE","LIMAVADY"
"4841",NA,"BOVALLY","LIMAVADY"
"4842",NA,"GLEBE","LIMAVADY"
"4843",NA,"CARRAN","LIMAVADY"
"4844",NA,"BALLYMAGOLAND","LIMAVADY"
"4845",NA,"RATHBRADY MORE","LIMAVADY"
"4846",NA,"ENAGH","LIMAVADY"
"4847",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"4848",NA,"RATHBRADY MORE","LIMAVADY"
"4849",NA,"DEER PARK","LIMAVADY"
"4850",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"4851",NA,"CULMORE LOWER","LIMAVADY"
"4852",NA,"ARDGARVAN","LIMAVADY"
"4853",NA,"ARDGARVAN","LIMAVADY"
"4854",NA,"MONEYGUIGGY","LIMAVADY"
"4855",NA,"COOLESSAN","LIMAVADY"
"4856",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"4857",NA,"KILHOYLE","LIMAVADY"
"4858",NA,"BALLYKELLY LEVEL (INTAKE)","LIMAVADY"
"4859",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"4860",NA,"ENAGH","LIMAVADY"
"4861",NA,"CARRICK EAST","LIMAVADY"
"4862",NA,"BOVALLY","LIMAVADY"
"4863",NA,"ARDGARVAN","LIMAVADY"
"4864",NA,"DUNMORE","LIMAVADY"
"4865",NA,"COOLESSAN","LIMAVADY"
"4866",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"4867",NA,"BALLYMACLARY","LIMAVADY"
"4868",NA,"DRUMAVALLY","LIMAVADY"
"4869",NA,"DRUMAVALLY","LIMAVADY"
"4870",NA,"TAMLAGHT (PART OF GLEBE)","LIMAVADY"
"4871",NA,"GORTNAMONEY","LIMAVADY"
"4872",NA,"GORTNAMONEY","LIMAVADY"
"4873",NA,"CRINDLE","LIMAVADY"
"4874",NA,"GLACK","LIMAVADY"
"4875",NA,"GLACK","LIMAVADY"
"4876",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"4877",NA,"COOLESSAN","LIMAVADY"
"4878",NA,"RATHBRADY MORE","LIMAVADY"
"4879",NA,"ENAGH","LIMAVADY"
"4880",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"4881",NA,"RATHBRADY MORE","LIMAVADY"
"4882",NA,"RATHBRADY MORE","LIMAVADY"
"4883",NA,"COOLESSAN","LIMAVADY"
"4884",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"4885",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"4886",NA,"RATHBRADY MORE","LIMAVADY"
"4887",NA,"ENAGH","LIMAVADY"
"4888",NA,"CARRAN","LIMAVADY"
"4889",NA,"COOLESSAN","LIMAVADY"
"4890",NA,"ENAGH","LIMAVADY"
"4891",NA,"ENAGH","LIMAVADY"
"4892",NA,"RATHBRADY MORE","LIMAVADY"
"4893",NA,"ENAGH","LIMAVADY"
"4894",NA,"RATHBRADY MORE","LIMAVADY"
"4895",NA,"COOLESSAN","LIMAVADY"
"4896",NA,"ENAGH","LIMAVADY"
"4897",NA,"COOLESSAN","LIMAVADY"
"4898",NA,"COOLESSAN","LIMAVADY"
"4899",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"4900",NA,"RATHBRADY MORE","LIMAVADY"
"4901",NA,"COOLESSAN","LIMAVADY"
"4902",NA,"ENAGH","LIMAVADY"
"4903",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"4904",NA,"RATHBRADY MORE","LIMAVADY"
"4905",NA,"BOVALLY","LIMAVADY"
"4906",NA,"RATHBRADY MORE","LIMAVADY"
"4907",NA,"ENAGH","LIMAVADY"
"4908",NA,"ENAGH","LIMAVADY"
"4909",NA,"KILLANE","LIMAVADY"
"4910",NA,"DROMORE","LIMAVADY"
"4911",NA,"DROMORE","LIMAVADY"
"4912",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"4913",NA,"RATHBRADY MORE","LIMAVADY"
"4914",NA,"COOLESSAN","LIMAVADY"
"4915",NA,"ENAGH","LIMAVADY"
"4916",NA,"BOVALLY","LIMAVADY"
"4917",NA,"ENAGH","LIMAVADY"
"4918",NA,"BOVALLY","LIMAVADY"
"4919",NA,"BOVALLY","LIMAVADY"
"4920",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"4921",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"4922",NA,"ARDMORE","LIMAVADY"
"4923",NA,"COOLESSAN","LIMAVADY"
"4924",NA,"COOLESSAN","LIMAVADY"
"4925",NA,"RATHBRADY MORE","LIMAVADY"
"4926",NA,"ENAGH","LIMAVADY"
"4927",NA,"CARRAN","LIMAVADY"
"4928",NA,"CARRAN","LIMAVADY"
"4929",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"4930",NA,"BOVALLY","LIMAVADY"
"4931",NA,"BOVALLY","LIMAVADY"
"4932",NA,"ENAGH","LIMAVADY"
"4933",NA,"LISNAKILLY","LIMAVADY"
"4934",NA,"BOVALLY","LIMAVADY"
"4935",NA,"FRUITHILL","LIMAVADY"
"4936",NA,"CARRICK","LIMAVADY"
"4937","MAGILLIGAN","BALLYMACLARY","LIMAVADY"
"4938",NA,"CARRAN","LIMAVADY"
"4939",NA,"CARRAN","LIMAVADY"
"4940",NA,"BOVALLY","LIMAVADY"
"4941",NA,"MAGHERAMORE","LIMAVADY"
"4942",NA,"UMBRA","LIMAVADY"
"4943",NA,"BOVALLY","LIMAVADY"
"4944",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"4945",NA,"ENAGH","LIMAVADY"
"4946",NA,"ENAGH","LIMAVADY"
"4947",NA,"ENAGH","LIMAVADY"
"4948",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"4949",NA,"BOVALLY","LIMAVADY"
"4950",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"4951",NA,"CARRAN","LIMAVADY"
"4952",NA,"KEADY","LIMAVADY"
"4953",NA,"BOVALLY","LIMAVADY"
"4954","MAGILLIGAN","AUGHIL","LIMAVADY"
"4955",NA,"RATHBRADY MORE","LIMAVADY"
"4956",NA,"CARRICK EAST","LIMAVADY"
"4957",NA,"COOLESSAN","LIMAVADY"
"4958",NA,"COOLESSAN","LIMAVADY"
"4959",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"4960",NA,"LARGY","LIMAVADY"
"4961",NA,"TERRYDREMONT NORTH","LIMAVADY"
"4962",NA,"CARRAN","LIMAVADY"
"4963",NA,"LARGY","LIMAVADY"
"4964",NA,"ENAGH","LIMAVADY"
"4965",NA,"DRUMMOND","LIMAVADY"
"4966",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"4967",NA,"ARTIKELLY","LIMAVADY"
"4968",NA,"COOLESSAN","LIMAVADY"
"4969",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"4970",NA,"GRANNAGH","LIMAVADY"
"4971",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"4972",NA,"ENAGH","LIMAVADY"
"4973",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"4974",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"4975",NA,"ENAGH","LIMAVADY"
"4976",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"4977",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"4978",NA,"CARRAN","LIMAVADY"
"4979",NA,"BOVALLY","LIMAVADY"
"4980",NA,"BENONE","LIMAVADY"
"4981",NA,"BOVALLY","LIMAVADY"
"4982",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"4983",NA,"CARROWCLARE","LIMAVADY"
"4984",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"4985",NA,"CARRYDOO","LIMAVADY"
"4986",NA,"LOWER BALLYLEIGHERY","LIMAVADY"
"4987",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"4988",NA,"ARDGARVAN","LIMAVADY"
"4989",NA,"ENAGH","LIMAVADY"
"4990",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"4991",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"4992",NA,"CARRAN","LIMAVADY"
"4993",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"4994",NA,"RATHBRADY MORE","LIMAVADY"
"4995",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"4996",NA,"BOVALLY","LIMAVADY"
"4997",NA,"BOVALLY","LIMAVADY"
"4998",NA,"ENAGH","LIMAVADY"
"4999",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"5000",NA,"RATHBRADY MORE","LIMAVADY"
"5001",NA,"RATHBRADY MORE","LIMAVADY"
"5002",NA,"RATHBRADY MORE","LIMAVADY"
"5003",NA,"BALLYCRUM","LIMAVADY"
"5004",NA,"BOVALLY","LIMAVADY"
"5005",NA,"BOVALLY","LIMAVADY"
"5006",NA,"BOVALLY","LIMAVADY"
"5007",NA,"DUNCRUN","LIMAVADY"
"5008",NA,"CARROWCLARE","LIMAVADY"
"5009",NA,"RATHBRADY MORE","LIMAVADY"
"5010",NA,"DEER PARK","LIMAVADY"
"5011",NA,"ENAGH","LIMAVADY"
"5012",NA,"ENAGH","LIMAVADY"
"5013",NA,"KILLANE","LIMAVADY"
"5014",NA,"CRINDLE","LIMAVADY"
"5015",NA,"RATHBRADY MORE","LIMAVADY"
"5016",NA,"COOLESSAN","LIMAVADY"
"5017",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"5018",NA,"BOVALLY","LIMAVADY"
"5019",NA,"ENAGH","LIMAVADY"
"5020",NA,"GLACK","LIMAVADY"
"5021",NA,"RATHBRADY MORE","LIMAVADY"
"5022",NA,"TEMPLEMOYLE","LIMAVADY"
"5023",NA,"BOVALLY","LIMAVADY"
"5024",NA,"BOVALLY","LIMAVADY"
"5025",NA,"BALLYMAGOLAND","LIMAVADY"
"5026",NA,"GORTNARNEY","LIMAVADY"
"5027",NA,"BALLYMULTIMBER","LIMAVADY"
"5028",NA,"CLAGAN","LIMAVADY"
"5029",NA,"DRUMALIEF","LIMAVADY"
"5030",NA,"GORTCORBIES","LIMAVADY"
"5031",NA,"COOLESSAN","LIMAVADY"
"5032",NA,"COOLESSAN","LIMAVADY"
"5033",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"5034",NA,"COOLESSAN","LIMAVADY"
"5035",NA,"RATHBRADY MORE","LIMAVADY"
"5036",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"5037",NA,"ENAGH","LIMAVADY"
"5038",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"5039",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"5040",NA,"RATHBRADY MORE","LIMAVADY"
"5041",NA,"TAMLAGHT","LIMAVADY"
"5042",NA,"RATHBRADY MORE","LIMAVADY"
"5043",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"5044",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"5045",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"5046",NA,"RATHBRADY MORE","LIMAVADY"
"5047",NA,"RATHBRADY MORE","LIMAVADY"
"5048",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"5049",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"5050",NA,"ENAGH","LIMAVADY"
"5051",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"5052",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"5053",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"5054",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"5055",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"5056",NA,"RATHBRADY MORE","LIMAVADY"
"5057",NA,"RATHBRADY MORE","LIMAVADY"
"5058",NA,"ENAGH","LIMAVADY"
"5059",NA,"RATHBRADY MORE","LIMAVADY"
"5060",NA,"BOVALLY","LIMAVADY"
"5061",NA,"BOVALLY","LIMAVADY"
"5062",NA,"BOVALLY","LIMAVADY"
"5063",NA,"ENAGH","LIMAVADY"
"5064",NA,"CARRAN","LIMAVADY"
"5065",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"5066",NA,"EDENMORE","LIMAVADY"
"5067",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"5068",NA,"CAHERY","LIMAVADY"
"5069",NA,"ENAGH","LIMAVADY"
"5070",NA,"RATHBRADY MORE","LIMAVADY"
"5071",NA,"BOVALLY","LIMAVADY"
"5072",NA,"COOLESSAN","LIMAVADY"
"5073",NA,"ENAGH","LIMAVADY"
"5074",NA,"BOVALLY","LIMAVADY"
"5075",NA,"DRUMGESH","LIMAVADY"
"5076",NA,"CARRAN","LIMAVADY"
"5077",NA,"BOVALLY","LIMAVADY"
"5078",NA,"BALLYMULLY","LIMAVADY"
"5079",NA,"BALLYMULLY","LIMAVADY"
"5080",NA,"DRUMSURN LOWER","LIMAVADY"
"5081",NA,"LARGY","LIMAVADY"
"5082",NA,"LEEKE","LIMAVADY"
"5083",NA,"MULKEERAGH","LIMAVADY"
"5084",NA,"RATHBRADY MORE","LIMAVADY"
"5085",NA,"ENAGH","LIMAVADY"
"5086",NA,"BOVALLY","LIMAVADY"
"5087",NA,"BOVALLY","LIMAVADY"
"5088","FRUITHILL","STREEVE","LIMAVADY"
"5089",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"5090",NA,"DERRY BEG","LIMAVADY"
"5091",NA,"BOVALLY","LIMAVADY"
"5092",NA,"LENAMORE","LIMAVADY"
"5093",NA,"BOVALLY","LIMAVADY"
"5094",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"5095",NA,"SHANVEY","LIMAVADY"
